,0,1
80_-40_6_0,-0.7512304262515686,-0.7875569399348379
80_-50_7_0,-2.8552883754276266,-100.47714971089837
70_-60_8_0,-2.890850030528157,-2.859715040893974
70_-60_9_0,-15.727768000287414,-16.168822759000182
70_-70_10_0,-42.97785485395142,-590.590000000093
60_-80_10_0,-254.4207637088928,-14.229650724763795
60_-90_10_0,-144.15387560923244,-658.2700000000355
50_-100_10_0,-1394.406184162273,-464.40453551866983
50_-110_10_0,-678.2500000000184,-190.19764125177034
280_80_-7_0,-0.0026179418439455492,-0.0034303420278982105
280_100_-2_0,-0.003477616037863912,-0.0036094317532788314
280_100_1_0,-0.004631969039381786,-0.0051585412749814066
210_80_6_0,-0.013119141501726906,-0.0244851242957022
140_-20_-7_0,-0.012311989393067433,-100.0
120_-40_-7_0,-0.001962681080421441,-0.002682471105975812
110_-30_-5_0,-0.017995866625676125,-0.026969624789689062
100_-20_-2_0,-0.3274649279376378,-7.891491328151953
90_-20_-1_0,-0.411790688235193,-0.6597802784982811
90_-20_0_0,-0.42134968597943373,-0.38602261883296074
90_-20_1_0,-0.4167422450777707,-0.5184139231317447
70_-30_4_0,-3.4531673148343436,-2.9147503662573553
70_-40_6_0,-1.2576930365373686,-1.2709028651859422
50_-60_-9_0,-244.37735976083044,-300.52404680681457
50_-50_-8_0,-188.06020950549853,-181.95334911697995
40_-40_-7_0,-463.2267132783455,-543.1639373529486
40_-40_-6_0,-511.5313355660427,-543.8771007883653
30_-30_-5_0,-847.8991054074403,-1029.5658344564902
30_-30_-4_0,-677.1708490406377,-1437.7777569188513
140_-50_-9_0,-0.0017962738645504787,-0.0018850956234535453
120_-20_-4_0,-4.541328616223037e-05,-0.014722511569308509
50_-90_-9_0,-12.595316147169601,-113.31110318826379
50_-90_-8_0,-25.839981515383815,-106.23328159211222
40_-80_-7_0,-28.09564828699982,-221.74066081389017
40_-70_-6_0,-190.59444422997558,-296.06704839818985
30_-70_-5_0,-181.0,-249.59036654642887
30_-60_-4_0,-742.1491416460269,-769.4189054932775
30_-60_-3_0,-461.56103152068243,-784.3085945397252
280_10_-9_0,-0.00045130120072041764,-0.00047850130122677957
280_20_-8_0,-0.000611792117530058,-0.0006703272263734676
280_20_-7_0,-0.00046403226863600034,-0.0005054769316691623
280_30_-6_0,-0.0005099862383493074,-0.0006883527804510596
280_40_-5_0,-0.0006517449177528684,-0.000825067626505327
280_40_-4_0,-0.0005957022804262164,-0.0006142470063059564
280_40_-3_0,-0.0007068017303348143,-0.0007476211510523549
280_40_-2_0,-0.0007518560118188642,-0.0010388736212716778
280_50_-1_0,-0.001034686988442477,-0.0011410937501736475
280_50_0_0,-0.001335098079697506,-0.001306823038860374
280_40_1_0,-0.001318798055384322,-0.001363212087367212
280_40_2_0,-0.0013231392484180271,-0.001386662861966019
280_40_3_0,-0.0019010699902818839,-0.0017128171141378111
210_40_4_0,-0.0046042562694397085,-0.005081151565195057
210_30_5_0,-0.005198460571835863,-0.008605229969790087
210_20_6_0,-0.0014498988911484793,-0.0028622881456457382
210_20_7_0,-0.0038116445472034647,-0.0032778748828116598
210_10_8_0,-0.0008227908257979693,-0.0017867694859828864
210_0_9_0,-0.0007482663730003322,-0.0008408678347968962
210_-10_-5_0,-0.000910774789922692,-0.0016264098626591252
210_-10_-4_0,-0.0013480774397908307,-0.0015988906057885356
210_-10_-3_0,-0.0005947538220163296,-0.0014432102333738306
140_-40_-9_0,-0.009301824195863192,-0.009429508482843057
140_-30_-8_0,-0.01055367052989474,-0.012784379593557391
130_-10_-4_0,-0.04122029838108196,-0.06378620704546488
130_-10_-3_0,-0.04972723455489888,-0.14691617380415192
130_-10_-2_0,-0.02468735539394742,-0.01971152793847413
120_0_-1_0,-0.17722623665450102,-0.20469205167751137
